TICKER,CUSIP,OFTIC,CNAME,PENDS,MEASURE,PDICITY,ANNDATS,ANNTIMS,ACTDATS,ACTTIMS,VALUE,CURR_ACT,USFIRM
IBM,45920010,IBM,INTL BUS MACH,2000-09-30,GPS,QTR,2000-10-17,16:26:00,2000-10-17,16:26:00,,USD,1
IBM,45920010,IBM,INTL BUS MACH,2000-12-31,GPS,QTR,2001-01-17,16:17:00,2001-01-17,16:17:00,,USD,1
IBM,45920010,IBM,INTL BUS MACH,2001-03-31,GPS,QTR,2001-04-18,17:07:00,2001-04-18,17:07:00,,USD,1
IBM,45920010,IBM,INTL BUS MACH,2001-06-30,GPS,QTR,2001-07-18,17:18:00,2001-07-18,17:18:00,,USD,1
IBM,45920010,IBM,INTL BUS MACH,2001-09-30,GPS,QTR,2001-10-17,3:32:00,2001-10-17,3:32:00,,USD,1
IBM,45920010,IBM,INTL BUS MACH,2001-12-31,GPS,QTR,2002-01-17,18:35:00,2002-01-17,18:35:00,,USD,1
IBM,45920010,IBM,INTL BUS MACH,2002-03-31,GPS,QTR,2002-04-17,17:03:00,2002-04-17,17:03:00,,USD,1
IBM,45920010,IBM,INTL BUS MACH,2002-06-30,GPS,QTR,2002-07-17,19:09:00,2002-07-17,19:09:00,0.25,USD,1
IBM,45920010,IBM,INTL BUS MACH,2002-09-30,GPS,QTR,2002-10-16,15:18:00,2002-10-17,12:24:00,0.98,USD,1
IBM,45920010,IBM,INTL BUS MACH,2002-12-31,GPS,QTR,2003-01-16,17:29:00,2003-01-16,17:29:00,1.11,USD,1
IBM,45920010,IBM,INTL BUS MACH,2003-03-31,GPS,QTR,2003-04-14,16:21:00,2003-04-14,16:21:00,0.78,USD,1
IBM,45920010,IBM,INTL BUS MACH,2003-06-30,GPS,QTR,2003-07-16,16:37:00,2003-07-16,16:37:00,0.98,USD,1
IBM,45920010,IBM,INTL BUS MACH,2003-09-30,GPS,QTR,2003-10-15,16:06:00,2003-10-15,16:14:00,1.02,USD,1
IBM,45920010,IBM,INTL BUS MACH,2003-12-31,GPS,QTR,2004-01-15,7:32:00,2004-01-15,7:38:00,1.56,USD,1
IBM,45920010,IBM,INTL BUS MACH,2004-03-31,GPS,QTR,2004-04-15,16:07:00,2004-04-15,16:11:00,0.93,USD,1
IBM,45920010,IBM,INTL BUS MACH,2004-06-30,GPS,QTR,2004-07-15,16:06:00,2004-07-15,16:13:00,1.16,USD,1
IBM,45920010,IBM,INTL BUS MACH,2004-09-30,GPS,QTR,2004-10-18,16:06:00,2004-10-18,16:06:00,1.06,USD,1
IBM,45920010,IBM,INTL BUS MACH,2004-12-31,GPS,QTR,2005-01-18,16:06:00,2005-01-18,16:19:00,1.8,USD,1
IBM,45920010,IBM,INTL BUS MACH,2005-03-31,GPS,QTR,2005-04-14,16:22:00,2005-04-14,16:22:00,0.85,USD,1
IBM,45920010,IBM,INTL BUS MACH,2005-06-30,GPS,QTR,2005-07-18,16:06:00,2005-07-18,16:19:00,1.14,USD,1
IBM,45920010,IBM,INTL BUS MACH,2005-09-30,GPS,QTR,2005-10-17,16:06:00,2005-10-17,16:48:00,0.94,USD,1
IBM,45920010,IBM,INTL BUS MACH,2005-12-31,GPS,QTR,2006-01-17,17:47:00,2006-01-18,8:27:00,1.99,USD,1
IBM,45920010,IBM,INTL BUS MACH,2006-03-31,GPS,QTR,2006-04-18,16:09:00,2006-04-18,16:32:00,1.08,USD,1
IBM,45920010,IBM,INTL BUS MACH,2006-06-30,GPS,QTR,2006-07-18,16:05:00,2006-07-18,16:09:00,1.3,USD,1
IBM,45920010,IBM,INTL BUS MACH,2006-09-30,GPS,QTR,2006-10-17,16:11:00,2006-10-17,16:22:08,1.45,USD,1
IBM,45920010,IBM,INTL BUS MACH,2006-12-31,GPS,QTR,2007-01-18,16:07:00,2007-01-19,8:36:28,2.31,USD,1
IBM,45920010,IBM,INTL BUS MACH,2007-03-31,GPS,QTR,2007-04-17,16:17:00,2007-04-17,16:24:24,1.21,USD,1
IBM,45920010,IBM,INTL BUS MACH,2007-06-30,GPS,QTR,2007-07-18,16:04:00,2007-07-18,16:26:44,1.55,USD,1
IBM,45920010,IBM,INTL BUS MACH,2007-09-30,GPS,QTR,2007-10-16,16:08:00,2007-10-16,16:40:18,1.68,USD,1
IBM,45920010,IBM,INTL BUS MACH,2007-12-31,GPS,QTR,2008-01-17,16:07:00,2008-01-17,16:35:11,2.8,USD,1
IBM,45920010,IBM,INTL BUS MACH,2008-03-31,GPS,QTR,2008-04-16,16:07:00,2008-04-16,16:32:12,1.65,USD,1
IBM,45920010,IBM,INTL BUS MACH,2008-06-30,GPS,QTR,2008-07-17,4:06:00,2008-07-17,16:31:30,1.98,USD,1
IBM,45920010,IBM,INTL BUS MACH,2008-09-30,GPS,QTR,2008-10-16,16:20:00,2008-10-16,16:23:45,2.05,USD,1
IBM,45920010,IBM,INTL BUS MACH,2008-12-31,GPS,QTR,2009-01-20,16:09:00,2009-01-20,16:45:36,3.28,USD,1
IBM,45920010,IBM,INTL BUS MACH,2009-03-31,GPS,QTR,2009-04-20,7:43:00,2009-04-20,17:18:18,1.7,USD,1
IBM,45920010,IBM,INTL BUS MACH,2009-06-30,GPS,QTR,2009-07-16,16:05:00,2009-07-16,16:16:35,2.32,USD,1
IBM,45920010,IBM,INTL BUS MACH,2009-09-30,GPS,QTR,2009-10-15,16:03:00,2009-10-15,16:13:53,2.4,USD,1
IBM,45920010,IBM,INTL BUS MACH,2009-12-31,GPS,QTR,2010-01-19,16:05:00,2010-01-19,16:13:28,3.59,USD,1
IBM,45920010,IBM,INTL BUS MACH,2010-03-31,GPS,QTR,2010-04-19,16:09:00,2010-04-19,16:19:26,1.97,USD,1
IBM,45920010,IBM,INTL BUS MACH,2010-06-30,GPS,QTR,2010-07-19,16:08:00,2010-07-19,16:14:22,2.61,USD,1
IBM,45920010,IBM,INTL BUS MACH,2010-09-30,GPS,QTR,2010-10-18,16:08:00,2010-10-18,16:15:05,2.82,USD,1
IBM,45920010,IBM,INTL BUS MACH,2010-12-31,GPS,QTR,2011-01-18,16:10:00,2011-01-18,16:20:24,4.18,USD,1
IBM,45920010,IBM,INTL BUS MACH,2011-03-31,GPS,QTR,2011-04-19,16:06:00,2011-04-19,16:09:42,2.31,USD,1
IBM,45920010,IBM,INTL BUS MACH,2011-06-30,GPS,QTR,2011-07-18,16:08:00,2011-07-18,16:15:21,3,USD,1
IBM,45920010,IBM,INTL BUS MACH,2011-09-30,GPS,QTR,2011-10-17,16:12:00,2011-10-17,16:17:23,3.19,USD,1
IBM,45920010,IBM,INTL BUS MACH,2011-12-31,GPS,QTR,2012-01-19,16:04:00,2012-01-19,16:15:23,4.62,USD,1
IBM,45920010,IBM,INTL BUS MACH,2012-03-31,GPS,QTR,2012-04-17,16:08:00,2012-04-17,16:14:42,2.61,USD,1
IBM,45920010,IBM,INTL BUS MACH,2012-06-30,GPS,QTR,2012-07-18,16:06:00,2012-07-18,16:12:28,3.34,USD,1
IBM,45920010,IBM,INTL BUS MACH,2012-09-30,GPS,QTR,2012-10-16,16:11:00,2012-10-16,16:17:20,3.33,USD,1
IBM,45920010,IBM,INTL BUS MACH,2012-12-31,GPS,QTR,2013-01-22,16:06:00,2013-01-22,16:15:19,5.13,USD,1
IBM,45920010,IBM,INTL BUS MACH,2013-03-31,GPS,QTR,2013-04-18,16:05:00,2013-04-18,16:12:26,2.7,USD,1
IBM,45920010,IBM,INTL BUS MACH,2013-06-30,GPS,QTR,2013-07-17,16:07:00,2013-07-17,16:17:39,2.91,USD,1
IBM,45920010,IBM,INTL BUS MACH,2013-09-30,GPS,QTR,2013-10-16,16:04:00,2013-10-16,16:07:28,3.68,USD,1
IBM,45920010,IBM,INTL BUS MACH,2013-12-31,GPS,QTR,2014-01-21,16:05:00,2014-01-21,16:15:07,5.73,USD,1
IBM,45920010,IBM,INTL BUS MACH,2014-03-31,GPS,QTR,2014-04-16,16:07:00,2014-04-16,16:53:24,2.29,USD,1
IBM,45920010,IBM,INTL BUS MACH,2014-06-30,GPS,QTR,2014-07-17,16:07:00,2014-07-17,16:22:55,4.12,USD,1
IBM,45920010,IBM,INTL BUS MACH,2014-09-30,GPS,QTR,2014-10-20,7:00:00,2014-10-20,7:13:29,0.02,USD,1
IBM,45920010,IBM,INTL BUS MACH,2014-12-31,GPS,QTR,2015-01-20,16:06:00,2015-01-20,16:16:31,5.51,USD,1
IBM,45920010,IBM,INTL BUS MACH,2015-03-31,GPS,QTR,2015-04-20,16:05:00,2015-04-20,16:13:57,2.35,USD,1
IBM,45920010,IBM,INTL BUS MACH,2015-06-30,GPS,QTR,2015-07-20,16:03:00,2015-07-20,16:14:11,3.5,USD,1
IBM,45920010,IBM,INTL BUS MACH,2015-09-30,GPS,QTR,2015-10-19,16:04:00,2015-10-19,16:10:18,3.01,USD,1
IBM,45920010,IBM,INTL BUS MACH,2015-12-31,GPS,QTR,2016-01-19,16:06:00,2016-01-19,16:13:14,4.59,USD,1
IBM,45920010,IBM,INTL BUS MACH,2016-03-31,GPS,QTR,2016-04-18,16:08:00,2016-04-18,16:20:53,2.09,USD,1
IBM,45920010,IBM,INTL BUS MACH,2016-06-30,GPS,QTR,2016-07-18,16:09:00,2016-07-18,16:29:40,2.61,USD,1
IBM,45920010,IBM,INTL BUS MACH,2016-09-30,GPS,QTR,2016-10-17,16:11:00,2016-10-17,16:17:56,2.98,USD,1
IBM,45920010,IBM,IBM,2016-12-31,GPS,QTR,2017-01-19,16:08:00,2017-01-19,16:19:18,4.72,USD,1
IBM,45920010,IBM,IBM,2017-03-31,GPS,QTR,2017-04-18,16:06:00,2017-04-18,16:13:26,1.85,USD,1
IBM,45920010,IBM,IBM,2017-06-30,GPS,QTR,2017-07-18,16:06:00,2017-07-18,16:13:15,2.48,USD,1
IBM,45920010,IBM,IBM,2017-09-30,GPS,QTR,2017-10-17,16:11:00,2017-10-17,16:22:39,2.92,USD,1
IBM,45920010,IBM,IBM,2017-12-31,GPS,QTR,2018-01-18,16:05:00,2018-01-18,16:25:16,-1.14,USD,1
IBM,45920010,IBM,IBM,2018-03-31,GPS,QTR,2018-04-17,16:08:00,2018-04-17,16:09:00,1.81,USD,1
IBM,45920010,IBM,IBM,2018-06-30,GPS,QTR,2018-07-18,16:03:00,2018-07-18,16:23:07,2.61,USD,1
IBM,45920010,IBM,IBM,2018-09-30,GPS,QTR,2018-10-16,16:07:00,2018-10-16,16:31:14,2.94,USD,1
IBM,45920010,IBM,IBM,2018-12-31,GPS,QTR,2019-01-22,16:07:00,2019-01-22,16:27:22,2.15,USD,1
IBM,45920010,IBM,IBM,2019-03-31,GPS,QTR,2019-04-16,16:05:00,2019-04-16,16:19:03,1.79,USD,1
IBM,45920010,IBM,IBM,2019-06-30,GPS,QTR,2019-07-17,16:12:00,2019-07-17,16:29:15,2.81,USD,1
IBM,45920010,IBM,IBM,2019-09-30,GPS,QTR,2019-10-16,16:09:00,2019-10-16,16:23:40,1.89,USD,1
IBM,45920010,IBM,IBM,2019-12-31,GPS,QTR,2020-01-21,16:04:00,2020-01-21,16:43:31,4.11,USD,1
IBM,45920010,IBM,IBM,2020-03-31,GPS,QTR,2020-04-20,16:08:00,2020-04-20,16:39:39,1.31,USD,1
IBM,45920010,IBM,IBM,2020-06-30,GPS,QTR,2020-07-20,16:05:00,2020-07-20,16:22:39,1.52,USD,1
